Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
R2;93;BOUMERDES 01;BOUMERDES;0,434;0,253;0,18
R2;94;JIJEL 21;JIJEL;0,413;0,233;0,18
R2;95;DJELFA 20;DJELFA;0,406;0,227;0,179
R2;96;JIJEL 15;JIJEL;0,354;0,176;0,178
R2;97;ALGER EST 29;ALGER EST;0,405;0,229;0,177
R2;98;MASCARA 16;MASCARA;0,46;0,283;0,176
R2;99;TEBESSA 14;TEBESSA;0,417;0,243;0,174
R2;100;MOSTAGANEM 16;MOSTAGANEM;0,362;0,19;0,173
R2;101;TISSEMSITL 06;TISSEMSITL;0,364;0,192;0,172
R2;102;GUELMA 09;GUELMA;0,364;0,194;0,171
R2;103;TIPAZA 21;TIPAZA;0,376;0,207;0,169
R2;104;SKIKDA 26;SKIKDA;0,355;0,189;0,166
