Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
R1;Agency_487;UPW_034;0,619;80;-0,056;108;28;Efficientes mais faibles sur le plan multicritère
R1;Agency_888;UPW_044;0,613;82;-0,31;176;94;Efficientes mais faibles sur le plan multicritère
R1;Agency_013;UPW_001;0,608;83;-0,053;106;23;Efficientes mais faibles sur le plan multicritère
R1;Agency_260;UPW_016;0,607;84;-0,163;141;57;Efficientes mais faibles sur le plan multicritère
R1;Agency_162;UPW_014;0,602;86;-0,184;147;61;Efficientes mais faibles sur le plan multicritère
R1;Agency_205;UPW_033;0,602;87;-0,007;94;7;Efficientes mais faibles sur le plan multicritère
R1;Agency_846;UPW_018;0,597;90;-0,102;124;34;Efficientes mais faibles sur le plan multicritère
R1;Agency_865;UPW_049;0,594;91;-0,091;118;27;Efficientes mais faibles sur le plan multicritère
R1;Agency_704;UPW_040;0,585;94;0,098;61;33;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_876;UPW_012;0,582;95;0,029;80;15;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_111;UPW_041;0,581;96;0,183;37;59;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_735;UPW_017;0,576;98;0,133;49;49;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_465;UPW_038;0,574;101;0,001;91;10;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_265;UPW_013;0,562;105;0,041;77;28;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_796;UPW_042;0,558;109;0,181;38;71;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_241;UPW_054;0,555;111;0,005;89;22;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_221;UPW_005;0,536;115;0,104;58;57;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_607;UPW_049;0,534;116;0,051;74;42;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_309;UPW_034;0,532;117;0,103;59;58;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_550;UPW_055;0,532;118;0,071;68;50;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_915;UPW_053;0,532;119;0,071;67;52;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_416;UPW_007;0,532;120;0,071;69;51;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_095;UPW_004;0,523;122;0,2;30;92;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_630;UPW_055;0,517;125;0,155;43;82;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_880;UPW_033;0,513;127;0,113;53;74;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_664;UPW_008;0,512;128;0,053;73;55;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_682;UPW_035;0,509;129;0,108;56;73;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_506;UPW_009;0,504;131;0,149;44;87;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_454;UPW_022;0,493;136;0,192;33;103;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_492;UPW_022;0,492;137;0,273;16;121;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_087;UPW_010;0,491;138;0,016;86;52;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_100;UPW_004;0,49;140;0,146;45;95;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_245;UPW_053;0,471;143;0,23;23;120;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_806;UPW_055;0,437;152;0,009;88;64;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_207;UPW_013;0,427;155;0,026;83;72;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_124;UPW_008;0,419;159;0,092;65;94;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_706;UPW_040;0,415;160;0,026;82;78;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_703;UPW_008;0,414;161;0,11;54;107;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_850;UPW_012;0,396;167;0,03;79;88;Faibles en DEA mais mieux classées en PROMETHEE II
R1;Agency_118;UPW_007;0,589;93;-0,297;173;80;Faibles sur les deux approches
R1;Agency_712;UPW_038;0,578;97;-0,227;158;61;Faibles sur les deux approches
R1;Agency_350;UPW_018;0,575;99;-0,042;104;5;Faibles sur les deux approches
